sgt_pepper69: 🇰🇵
vienna22159: right quick
mcchilisayshi: Unedited content
wnderman45: oop
bonecutter_bob: Yas more ozone
moobot: Jordan has been streaming fo
thatveryepicgamer: meincref or miencref?
the54321net: do u plan on doing more beamng drive vids
ecniray_gamer: cptSkin cptSkin back to minecraft
batkidking: Reeeeeeee
rainbowlicious_art: bring back hexxit pls
nukergg: @thatveryepicgamer pretty sure its craftmine
pvakil: Are you still planning on any future remix's on the Maron Music? I loved your versions of Stay, Closer, and Rockabye <3
thewiseman45: @rainbowlicious_art hexxit is dead... Since all the modded players
hairy_koala42: Came here from the video
thermicwaffle5: mining away
condescendingfridge: lol Jardon said I donated $20 when I donated $10 cptSalty
notchapples: still no corpton emote?
notarealgamer97: sorry i couldn't do more
thermicwaffle5: i dont no
ladybask: lol hexxit was fun
lollipops87: LUL
tip11000: @captainsparklez do a Fortnite dropper
theoneandonlyyes: ozone now?
chibi_zephyr: @theoneandonlyyes nope. Dropper
ragingbrooke: oh my gosh that is a lot of maps
niitevx: damn u got so many worlds
dardit18: @CaptainSparklez Stream Category
theoneandonlyyes: ah
theoneandonlyyes: ok
mccool117: A map full of eye droppers would be quite an eye full...
nukergg: confuse dropper.. i have a feeling sparklez will rage LUL
kittycat817k: i'm glad i watched the after video on twitch so i'm cought up
vienna22159: is it 5 in Cali?
honeyyli: yes
rea_124: x33n is a workin boi lol
gg134566: # minevraft
yvng_bleach: cheer100 cheer100
honeyyli: 
kittycat817k: dropper
vienna22159: ah utah
gg134566: 250 more
thatveryepicgamer: gamer tim
nukergg: @CaptainSparklez you should try fortnite droppers too, they're cool aswell
kittycat817k: me too
greenmohawk: cptPraise cptPraise cptPraise
thatveryepicgamer: he going to pee
mcchilisayshi: Chair stream!
rea_124: *lowers render distance for a dropper map* lol
thatveryepicgamer: chair time
viva__la__vida: cptPraise cptPraise
batkidking: cheer100 cheer100
castle_lam: WutFace WutFace WutFace
gg134566: 240 more
rammer_darksun: cptPraise cptPraise cptPraise cptPraise
emperor_jojo: Pee pee
moobot: Jordan has been streaming fo
ragingbrooke: yay chair streams!!!
armedsage: cptPraise cptPraise cptPraise cptPraise cptPraise
rainbowlicious_art: wall stream
jazzbuddy1234: Chair stream bois
smilydavid05: it said trials rising still
fox_tamer: PRAISE THE CHAIR!
yvng_bleach: cptPraise
thermicwaffle5: cptPraise cptPraise cptPraise cptPraise cptPraise
benthere135: Jordan is stan the water man
xanderman05: yoooooooo
nukergg: chair stream is better than jordan's stream Kappa
chibi_zephyr: cptPraise cptPraise cptPraise cptPraise
iilclemii: cptPraise cptPraise
ushouldstudy: what a beautiful chair\
moobot: Subscribing gets you a unique subscriber icon, emotes, no ads, freedom from slow mode and more! All this for just $4.99 a month. Just follow this lin
lollipops87: AMAZING CONTENT
zdude3: is that chair only $399
cdrshepherd8132: cptPraise cptPraise cptPraise cptPraise cptPraise
condescendingfridge: cptPraise cptPraise cptPraise cptPraise
whobodythere: cptPraise cptPraise cptPraise cptPraise cptPraise cptPraise cptPraise cptPraise cptPraise
tip11000: cptPraise
casacara_xo: das a nice chair
jimmy50908: This is some pretty epic gameplay
tip11000: cptPraise cptPraise cptPraise cptPraise cptPraise
smilydavid05: CHiar
scorpianscyanide: cptPraise cptPraise cptPraise cptPraise cptPraise cptPraise cptPraise cptPraise cptPraise
saintsaudade: cptPraise cptPraise
dolorian420: did he got the stolen package back?
ladybask: Praise the chair... all praise the chair!
ragingbrooke: oh gosh thats a lot of chairs
firebird20613: chair
mccool117: All hail his chairfulness
wheelchairbro: so what can we start talking about so he is super confuse when he gets back?
rainbowlicious_art: best chair srean
mr_ma1ta: everybody spam egg
fuzzycrafter123: the chair looks very clean and nice
squigglegod: the chair has always been the best
hoptrovert: Yo
bloodfallen_: Stan the water man supplies Jordan
mr_ma1ta: egg
wnderman45: chair lord
computer_l1: Oooh dass hot
sachibear: The god chair!!!
nukergg: imagine now the chair somehow started playing LUL
aras94: egg
mr_ma1ta: e g g
the_shortstop_: egg
theoneandonlyyes: epic chair stream
jerrytheslime5: All praise the chair
ladybask: egg
max_klaw: Whenever he leaves the chair he leaves it one way then turns and walks the other direction why not turn the direction from the beginning?
sgt_pepper69: egg
mr_ma1ta: egg
honeyyli: why no love for the mircophone
castle_lam: PogChamp PogChamp PogChamp PogChamp
thewiseman45: @Chibi_Zephyr you here about Nortre Damn
lollipops87: egg
honeyyli: egg
ladybask: ehh
cdrshepherd8132: PokPikachu
jaymycat: whats he gonna play now??
lonesomemango: Egg
ladybask: egg
chibi_zephyr: DO NOT SPAM PLEASE AND THANK YOU
theoneandonlyyes: um
thephantom323: Wonderful weather we are having
usernumber313: whats nicer than the chair is the mic
moobot: Jordan is raising money for GameChanger! PC users can donate using the extension below the stream! Or use the link and find Jordan's stream! http
kittycat817k: im hugging my cat rn
smhyuv: oh SIHT
mccool117: Chair should get his own stream
zdude3: pewds has nothing on jardons chair
starzarray: um
rainbowlicious_art: ok
wal0wal0son: still trials rising jardon
thewiseman45: llll
speedfreakwill: 4Head 4Head 4Head 4Head 4Head 4Head 4Head 4Head 4Head 4Head
moobot: Your emotions are all over the place. Don't spam emotes. (@SpeedFreakWill) (warning)
mcchilisayshi: Don't ruin it for all of the non-subs
sgt_pepper69: eggo my egg
lulubear: ayyyyyyy
bananaflavoredbaloney: all hail the almighty chair
greenmohawk: Welcome back
xanderman05: yoooooo
buggiesmile: cptPraise cptPraise cptPraise cptPraise
redawesome624: and ham
moobot: Thanks for subscribing! Welcome smhyuv to the Crew of the SS SparklePants!
computer_l1: Squid1 Squid2 Squid2 Squid2 Squid2 Squid2 Squid3 Squid2 Squid4
starzarray: when is this happening???
theoneandonlyyes: i guess someone sub gifted me
ragingbrooke: Thats a very effective way to stop spamming!!!
rea_124: wb jardon
batkidking: cheer100 cheer100 Creepers, ohh man
wal0wal0son: still TRIALS
bobross_05: Forking shorts he gone
vienna22159: wat
thatveryepicgamer: welcome back glitter lap
lulubear: dafranLove
jimmy50908: It says trials
gragoreum: why is the charity link gone?
moobot: Thanks for subscribing! Welcome muziktube to the Crew of the SS SparklePants!
chibi_zephyr: @thewiseman45 yes i did
starzarray: when is it starting???!!!!?????????????????????????????????????????????????
sgt_pepper69: e g g
computer_l1: Squid1 Squid2 Squid2 Squid2 Squid3 Squid4
vienna22159: yeet
traxxas5514: wooooooooo char stream
fox_tamer: um, why'd it turn Sub only??? 
usernumber313: DID YOU WASH YOUR HANDS, JARDON?
jewbacca_wookiee: hi Jardon
moobot: Thanks for subscribing! Welcome DropDeadLink to the Crew of the SS SparklePants!
chibi_zephyr: !donate
moobot: Jordan is raising money for GameChanger! PC users can donate using the extension below the stream! Or use the link and find Jordan's stream! http
shawnmaldonado: howdy do capn
honeyyli: so no eggos
chibi_zephyr: Thanks for cptLogo ubbing!!
wheelchairbro: asmr keyboard
computer_l1: Squid1 Squid2 Squid2 Squid2 Squid3 Squid2 Squid4
ladybask: lol
mr_ma1ta: egg
thewiseman45: @Chibi_Zephyr sad isnt it
thephantom323: Wonderful weather we are having Jardon
sgt_pepper69: jargon*
smokeyshott: i like cheese
kittycat817k: gosh i envy people who type fast
mr_ma1ta: e g g
greenmohawk: Thanks for cptLogo ubbing! cptJerry
chibi_zephyr: @computer_l1 Stop with the squid, please
themadben2014: BloodTrail
jimmeyjam1: Squid1 Squid2 Squid2 Squid2 Squid2 Squid2 Squid2 Squid2 Squid2 Squid2 Squid2 Squid2 Squid2 Squid2 Squid2 Squid3 Squid4
wes_1101: Egg
traxxas5514: cooked egg
mr_ma1ta: egg g
mollyblue3: youtube squuuuuuaaaaadddd?
sgt_pepper69: ^
moobot: Jordan has been streaming fo
riphtix: im having my discord pop over here
smilydavid05: EGG
riphtix: to donate
jimmeyjam1: PowerUpL Squid3 PowerUpR
ragingbrooke: Guys stop spamming, the poor mods
chibi_zephyr: !donate
moobot: Jordan is raising money for GameChanger! PC users can donate using the extension below the stream! Or use the link and find Jordan's stream! http
mcchilisayshi: Don't spam
thatveryepicgamer: Eg
moobot: Thanks for subscribing! Welcome Emperor_JoJo to the Crew of the SS SparklePants!
tmi.twitch.tv
: 
raaarityyyy: your chat box is only subscribers only
graybaby217: please buy a Nintendo switch for the kids
zephram_: the thumbnail showed trials fusion, i feel swindled Keepo
greenmohawk: Question. Can you donate the prize to charity?
sgt_pepper69: e g gay
midgitmurderer: Sparklypants, you crushed him
i_like_gam: mcaT
yvng_bleach: My donation didn’t show cptSalty cptSalty
bob_zilla_: When r u going to be do kingdoms???!?
ticketyboo: I haven't played minecraft since before horses. I logged in and was like WHAT with all the new blocks.
shifted_spirit: Hugs the mods, give them a break please
chibi_zephyr: it is hard to eat an ice cream sandwich and mod dang it
jerrytheslime5: cptPraise
moobot: Thanks for subscribing! Welcome cjwrapture to the Crew of the SS SparklePants!
ghaxt_yt: Wazzup, dude
chibi_zephyr: Thanks for cptLogo ubbing!!
chibi_zephyr: !donate
kiwidrawer: Thanks for subbing! cptEek
moobot: Jordan is raising money for GameChanger! PC users can donate using the extension below the stream! Or use the link and find Jordan's stream! http
smilydavid05: when all you see is message moderated
averydel_014: Hi
jstetzel: mcaT
buggiesmile: @yvng_bleach cptRIP
thatveryepicgamer: ok no things layed by chiken
bigb6969: MemeCraft
kiwidrawer: Ice cream sandwich sounds yummy
bayleebubble: Wish I could donate. Hope the donation goal has been met
batkidking: Yeah we back in the mines
thermicwaffle5: when is sparklez gonna read the subs and bits BOI
vienna22159: captainspooklez
ragingbrooke: @Chibi_Zephyr sorry you cant enjoy your ice cream sandwhich.
bayleebubble: An ice cream sandwich sounds amazing rn
chibi_zephyr: @ThermicWaffle5 he is prioritizing donations rn
nukergg: @CaptainSparklez unless you're from europe where people dont really use amazon LUL
ladybask: oh. I just realized I had Ice cream in my freezer, thanks
the__ronyn: Yo
thermicwaffle5: ok
redawesome624: Got our pic made swinging from side to side
jaydeebrome: is there a way to donate without amazon?
chibi_zephyr: @RagingBrooke I had to hold it in my mouth while typing to time out people xD
chibi_zephyr: !donate
moobot: Jordan is raising money for GameChanger! PC users can donate using the extension below the stream! Or use the link and find Jordan's stream! http
thewiseman45: no
tk232robloxmc: How long has he been live?
demon9099922: Howdy
bayleebubble: Ice cream sounds really good and I don’t have any gluBeesad
entityofspite_: almost 8k
jazzbuddy1234: !live
thatveryepicgamer: gamers unite to delete cancer from existance
moobot: Jordan has been streaming fo
graybaby217: best organization I have heard of
vienna22159: I want cake
ragingbrooke: @Chibi_Zephyr Thats impressive!
moobot: Thanks for subscribing! Welcome hoss9900 to the Crew of the SS SparklePants!
jerrytheslime5: PowerUpL PeteZaroll PowerUpR
honeyyli: too cold for ice cream rn
wes_1101: CoolStoryBob
skely511: i cant use my amazon account can we donate a different way
chibi_zephyr: @RagingBrooke it was cold
chibi_zephyr: Thanks for cptLogo ubbing!!
buggiesmile: Hey @the__ronyn
starzarray: it not starting!!!!!!it not starting!!!!!!it not starting!!!!!!it not starting!!!!!!it not starting!!!!!!it not starting!!!!!!it not starting!!!!!!it not starting!!!!!!it not starting!!!!!!it not starting!!!!!!it not starting!!!!!!?????
moobot: Don't spam the chat! (@starzarray)
demon9099922: I came from the video on youtube <3
ladybask: All I can offer is cyber icecream cones to all
itsdreamplay: GOAL
ghaxt_yt: How much have you earned?
honeyyli: oooh we hit coal
itsdreamplay: GOAL GUYS!
batkidking: YEAHH
rea_124: woot
brozziest: ooohhhhh we half way thheerrre
mcchilisayshi: we reached the goal!
bubblehips: ooh daaang
mcchilisayshi: Wooo!
yvng_bleach: lets gooo
casacara_xo: yaayy!!
thermicwaffle5: YYEEEEE
viva__la__vida: wooo
