kingovhartz: DAnG
fishiestguy: O dang
sprintshift: gg boys
rollin77: What in the fuck
ac3kill762: OKAY BUDDY
gxvinv2: HACKER
finnstar: PogChamp PogChamp PogChamp
supahhottfire: Pog
nadaniel1: Big brain plays
dom1nick11: Dumbass
iyerfire: SAVE THE +4 TILL TEH END
finnstar: Streamer loot
a3naq: Keep it to the end
ministartor: Ok buddy
xaviertcx: wth
fazetariqghost: myth can u play fortnite please
currtay: hows uno going ? LUL you been playing for a minute, i just joined.
fishiestguy: The +4 double draw tho
xsilvuh: Dude just made a dumb play amazing lmao
kushylife: LUL
itsdrkblu: @tsm_myth play for gifted it would make the games tense af
xsilvuh: Lemme never question it again
kingovhartz: NOt AnYMoRE
nightbot: ACTION Myth's Instagram - http
idiotcamden: bruh
ryzzzu: !uptime
nightbot: 6 hours 48 minutes 7 seconds
kushylife: op hand
iwillbeatyouingta5: EASY WIN
chronic_karmaa: @kushylife mthDrink
idiotcamden: this dude got such a nice hand
fear_dominicano: SAVE IT SAVE
kushylife: @chronic_karmaa VoHiYo
lmpactz: NO
metronade: @iitstaytay I was about to do fortnite tonight, but then there was so many sweats that i knew it wouldnt be good
shadow_seeker15: mthBl mthBl mthBl mthBl
lena165: NO
xsilvuh: Bruh the whole chat was on myths ass lmao now he bout to win
uzxt101: sweatcP
kushylife: LUL
cakekiller12: Lol
viispec: nice hand bud
katymcmaster1122: WHERES THEIR GOD DAMN IQ??? LMAOO
viispec: LETS GET THIS DUB!!
prodigyevan: ez win
seun__: LUL LUL LUL PogChamp PogChamp PogChamp PogChamp PogChamp
mortabite: Challenge they see you cards
subzerosmoke: easy clap
chiva_1: LOOOL
metronade: LETS GOO MYTH
katymcmaster1122: They dumb frfrfr
chiva_1: this game
nightbot: ACTION Myth's Instagram - http
juniahmafia: they looking at your shit? lol
2eezzz: stream snipping
kingovhartz: LUL
jmartw: REMEMBEE TO UNO
silvershadow117: CMON MYTH PogChamp
turbo_btw: lol
dom1nick11: Remember to call uno
katymcmaster1122: BOTTTTTT
shadow_seeker15: mthHa mthHa mthHa mthHa
mortabite: Chat don’t know uno rules frfr
kingovhartz: Yo myths wins wait
mexicannarut0: @tsm_zexrow @tsm_vinny1x @aipha
sprintshift: look at the IQ on these guys GG
sleltlh: Play the switch one
power_mills: !followage
idiotcamden: what
fishiestguy: Make sure to uno
klownzzi: LUL
currtay: they stream sniping
crispyyfn: WHAT
xsilvuh: Draw here
idiotcamden: this bot is memeing
finnstar: Zex stream sniping?
kushylife: LUL
idiotcamden: LMAOOO
metronade: Myth has this in the bag
donzo: LUL
michael20981: HAHAHAH
queen_sam98: so bad at hiding what he has lol
kushylife: zex is legit cheating
bridgezzzz: stream sniper
lena165: LUL LUL
s0l06ix: Big balls
space_ryan: LUL
k_destroyers290: Lol they in the stream
mortabite: When you challenge they challenger sees what’s in your hand @tsm_myth
michael20981: Zex row is right
juniahmafia: lmaooooooooooooooooooooo
sprintshift: STWEAM SNWIPER
benoxo7: Bye everyone I ha e to go to school now. (Im from Germany, Saxony-Anhalt) saroCry saroCry saroCry saroCry saroCry saroCry saroCry
donzo: LMAO
viispec: LUL
idiotcamden: he changed it to yellow anyways
s0l06ix: THREWWWW
xsilvuh: Oh my gawd
lena165: 0iq
subzerosmoke: rip
finnstar: 
kushylife: LUL
cakekiller12: LUL
bridgezzzz: hahahahahah
kushylife: RIP
metronade: LUL LUL LUL LUL
juniahmafia: RIP dude
metronade: welp
