learntostrafe: Kreytgasm
imraymond03: MOVE THE ZONE OMG
lateg0dx: monkaW
pickle_hairs: monkaW
theogpirate1: WINSTON AIM
chronoxfinity: Winston aim LUL
ponpondabonhater: HYPERBRUHCD
alybroski: RUNNNNNNNNNNNNNNNN
roccosoccer24: WutFace
officialfocus: gachiHYPER
clambrewery: HandsUp
dmahri: RUNNNNNNNNN
bellic091: gachiHYPER
teneh: ZONE
somebodywithtwitch: HandsUp
ligamentchampion: monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️
diaper_man1: THANK YOU MODS FOR SKIPPING BlessRNG THANK YOU MODS FOR SKIPPING BlessRNG THANK YOU MODS FOR SKIPPING BlessRNG
worldpeacenumberone: NO FILTHY WORDS
jannitor: gachiHYPER
erobbsblackknight: gachiHYPER
nocontent1: GachiPls
little_kipsy: STORM
maniatiger: gachiBASS
dekao91: W- LULW
mmozza: MOVE F
farazz: ZONE monkaW
daveshah: Kreygasm
salad505: TOP 10 monkaW
pops0208: PepeLaugh nymnCorn
schmego: W--
weed_kills_brain_cells: ?????????
kaso02: gachiBASS
ricew: gachiBASS
nikpercent: PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh
ymur: TriHard TriHard TriHard TriHard TriHard
reefreshe: gachiHYPER
justglowyy: SPLATOON BALLER POGGERS
telepathy: GachiPls
grimaldus_40k: ZONEEEEEEEEEEEE
goodluckshott: HandsUp
the_choose_goose: monkaW
zarfox_: ZONE monkaW
sweetserial: LULW
thekenny3d: monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️
cowls: monkaW gachiBASS
ilwin12: watch out for heavy snipe
mississippi_sippycup: RUNNNNNNNNNNNNN
chamczar: WOOD PepeLaugh
asiank0ala: gachiHYPER
chocolatepiefart: POGGERS
imraymond03: UR GOING GP DOE
pickle_hairs: RUN monkaW
holas1122: HandsUp i see it
ymur: TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard
kagunedark: GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH
foifoi2: move
mshizzy: STORM DEATH INC PepeLaugh STORM DEATH INC PepeLaugh STORM DEATH INC PepeLaugh STORM DEATH INC PepeLaugh
akai_ito_: GOGOG
nudeull: WAISTING MATS LULW
wolfinvans: farm mats!
ech0music: monkaS
the_choose_goose: LULW
exterminater1717: gachiHYPER AHHH MY SHOULDER gachiHYPER AHHH MY SHOULDER gachiHYPER AHHH MY SHOULDER gachiHYPER AHHH MY SHOULDER gachiHYPER AHHH MY SHOULDER gachiHYPER AHHH MY SHOULDER gachiHYPER AHHH MY SHOULDER
lawfy: LUL
mossausage: LULW THANKS CHAT <3
sweetserial: OMEGALUL
kev00tyler: PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES PepeLaugh HERE IT COMES
ymur: TriHard TriHard TriHard TriHard
ligamentchampion: monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️
crazyroadblock: xqcThonk xqcThonk xqcThonk xqcThonk xqcThonk xqcThonk xqcThonk xqcThonk xqcThonk xqcThonk xqcThonk
nocontent1: PepeLaugh
rapbattle: 9 POGGERS
mastercocotier: type 1 if he's gonna get the VICTORY ROYALE POGGERS
ashen1211: nice game bliazzad
drisaac: Farm some wood!
jbbresh: gachiHYPER HOLY FUCK gachiHYPER HOLY FUCK gachiHYPER HOLY FUCK gachiHYPER HOLY FUCK gachiHYPER HOLY FUCK gachiHYPER HOLY FUCK gachiHYPER HOLY FUCK
z6k1: run
anonymous_pleb1: GachiPls DETH
alybroski: Pepega
sseaany: Storm PepeLaugh Storm PepeLaugh
sappy___: GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH
fossabot: xqcL Funkymonkz just joined the jungle using Twitch Prime! xqcL Thanks so much for subbing xqcL And supporting the stream! xqcL
iq_pepega: LULW EDIT ?
ccb2018: NO
wolfhaleyyy: no
hypnotic910: LULW
r0dis: Pepega
du10616: Push Push Baby
appletiger13: "ONE MORE GAME"
jiffyisreal: Pepega
imraymond03: UR DEAD
gian0248: ??????
shaperbtw: ?????????????????????????
rapbattle: CIRCLE
ymur: TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard TriHard
fivelayerburrito: STORM GachiPls STORM GachiPls STORM GachiPls STORM GachiPls STORM GachiPls STORM GachiPls STORM GachiPls
lotenus: POGGERS edit
vomok1: RUN
fossabot: ACTION
fossabot: ACTION
mashedpotatoesx: Pepega
zostradamus: @diaper_man1 you're welcome xqcMood
laplante: GachiPls ZONE
rapbattle: RUNNN
schmego: W-
goulz: GG LULW
zarfox_: ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE
corrupthero: 4Shrug
dunkelicht: THE STORM monkaW THE STORM monkaW THE STORM monkaW THE STORM monkaW THE STORM monkaW THE STORM monkaW THE STORM monkaW THE STORM monkaW
clambrewery: LULW
hamrat: HALT STOP PLAYING THIS TRASH ✋ HALT STOP PLAYING THIS TRASH ✋ HALT STOP PLAYING THIS TRASH ✋ HALT STOP PLAYING THIS TRASH ✋ HALT STOP PLAYING THIS TRASH ✋
dopeypandahd: LULW
xirgil: CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls CoolCat GachiPls
scarmira: RUN monkaW
asnyder7: This game has a shit ton of bullet drop on snipers
ligamentchampion: monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️ monkaW 👉 ⛈️
telepathy: GachiPls CAT INCOMING GachiPls CAT INCOMING GachiPls CAT INCOMING GachiPls CAT INCOMING GachiPls CAT INCOMING GachiPls CAT INCOMING
lateg0dx: monkaW monkaW
raphwasnthere: run Pepega
jazerasor: JUMPED IT LULW
meme_trash0: SNIPERS SUCK GET A HEAVY SNIPER
kagunedark: GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH GachiPls DETH
zenzopp: Squid3
churuz: GachiPls DETH
zarfox_: ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE ZONE
hamrat: HALT STOP PLAYING THIS TRASH ✋ HALT STOP PLAYING THIS TRASH ✋
oneaboveall95: sumS sumS sumS
imraymond03: DUDE UR DEAD
bee_apparatus: LULW
farazz: LULW
telepathy: GachiPls CAT INCOMING GachiPls CAT INCOMING GachiPls CAT INCOMING GachiPls CAT INCOMING
dopeypandahd: LULW SO BAD
donkindunnts: run monkaS
joeesbeast: TriHard TriHard TriHard TriHard TriHard TriHard
grimaldus_40k: RUN
