Streamer,Hours_Streamed,Average_Viewers,Peek_Vierwers,Days_Active,Total_Games_Streamed,Daily_Broadcast_Time,Hours_Watched_Daily,Follower_Gained/stream,Views/stream,Followers_Gained/Hour,Followers_to_Date,Total_Views,Active_Days_per_Week,Average_Games/stream,Views/hour
squeezielive,413,17176,388941,136,51,3,52193,7836,90802,2502.7,1105436,12406091,1.2,1.5,2502.7
cohhcarnage,5917,10744,44576,866,207,7,73409,312,54280,70.6,1101101,118016790,7,1.2,70.6
forsen,4694,10272,80860,720,430,7,66964,733,77379,117.4,1097837,105499087,5.8,2.5,117.4
fernanfloo,1075,2806,202387,305,13,4,9889,3928,33522,997.5,1090430,9155830,5.9,1.3,997.5
jericho,3583,1755,9326,757,111,5,8306,240,13446,46,1087051,25859898,6.1,1.5,46
voyboy,4210,5448,33025,626,24,7,36635,441,42780,60.9,1082265,118873852,5.1,1.1,60.9
sovietwomble,2830,2550,8465,765,89,4,9433,589,11339,275.3,1070044,19704395,6.2,1.1,275.3
jahrein,1540,7893,35913,383,221,4,31741,2839,94569,514.3,1068063,40868412,3.1,3.6,514.3
kittyplays,2088,1081,19503,407,20,5,5545,794,22572,144.5,1061730,28369769,3.3,1.5,144.5
yassuo,3500,5761,58067,647,41,5,31164,1603,54267,298.5,1049223,35416083,5.2,1.2,298.5
pashabiceps,286,6744,46828,96,7,3,20088,2424,83256,796.8,1032589,22905336,0.9,1.3,796.8
nadeshot,1180,4171,25773,254,21,5,19379,1399,27648,284.5,1009458,43926319,2.1,1.3,284.5
amouranth,13123,1480,8287,849,52,15,22876,672,50210,76.2,1004929,74760549,6.9,1.5,76.2
anomaly,2366,2118,22929,422,106,6,11876,874,33474,135.2,1001045,22761737,3.5,2.8,135.2
sivhd,457,1282,9022,93,11,5,6293,180,25768,34.4,999061,38094903,0.8,1.1,34.4
kittyplays,2088,1081,19503,407,20,5,5545,794,22572,144.5,1061730,28369769,3.3,1.5,144.5
markiplier,446,4039,24192,138,62,3,13053,2925,24671,938.1,986916,7970072,1.5,1.6,938.1
nadeshot,1180,4171,25773,254,21,5,19379,1399,27648,284.5,1009458,43926319,2.1,1.3,284.5
symfuhny,4155,1994,25262,760,10,5,10902,1106,15607,235.3,979296,13856587,6.3,1.1,235.3
gronkh,1746,17468,84465,291,145,6,104779,2120,201615,222.2,971839,61961600,2.4,2.5,222.2
ungespielt,1078,3921,25706,241,23,4,17531,1114,29877,234.7,956253,28704648,2,1.3,234.7
unlostv,1877,6101,31695,381,44,5,30050,2752,87210,442.9,951870,28599903,3.1,3.1,442.9
dedreviil,69,136,542,51,18,1,183,4059,8167,3012.1,228438,510828,0.4,1.3,3012.1
elded,3568,3208,32252,754,175,5,15183,1175,16567,306.5,1272440,18955320,6.1,2.3,306.5
disguisedtoast,5300,8818,53075,839,83,6,55707,1078,69575,159.2,940443,55623553,6.8,1.6,159.2
a_seagull,1837,9089,102132,375,61,5,44512,1308,51005,307.6,940027,30566605,3.1,1.4,307.6
grimmmz,8598,3709,25483,853,153,10,37385,959,44839,97.3,938729,41556826,6.9,1.8,97.3
kinggothalion,5715,4737,86264,797,98,7,33970,290,26999,51.2,935514,42260805,6.4,1.4,51.2
aydan,1509,4606,45369,279,11,5,24916,3382,30546,616.3,930163,8400472,3.2,1.1,616.3
amaz,3792,7545,46661,601,67,6,47602,293,54433,46.2,919565,96708078,4.8,1.6,46.2
loserfruit,4574,1352,8111,751,113,6,8235,591,14395,144.3,895471,23680283,6.1,1.5,144.3
amaz,3792,7545,46661,601,67,6,47602,293,54433,46.2,919565,96708078,4.8,1.6,46.2
jukes,2991,9340,34974,554,32,5,50429,1694,103477,262.8,886076,53431823,4.5,1.5,262.8
zeon,3269,2527,21205,630,154,5,13111,853,45214,144.7,885015,45289840,5.1,2.5,144.7
starladder,127,1600,12263,24,2,5,8438,348,29727,66,8413,719637,0.3,1,66
rocketleague,915,38250,197365,209,1,4,167376,3653,292572,842.9,881281,68080162,1.7,1,842.9
tsm_theoddone,7077,1547,14808,812,159,9,13483,-11,15923,-1.2,881671,204905250,6.5,2.3,-1.2
anomaly,2366,2118,22929,422,106,6,11876,874,33474,135.2,1001045,22761737,3.5,2.8,135.2
trymacs,2748,9445,62664,607,27,5,42755,1226,42654,285.6,854377,28501262,4.9,1.4,285.6
stpeach,2081,1603,8190,545,68,4,6122,1610,46883,338,848744,22668966,4.4,2.4,338
giantwaffle,5850,4003,24965,788,371,7,29719,298,39290,36.1,842310,52427150,6.4,3.1,36.1
disguisedtoast,5300,8818,53075,839,83,6,55707,1078,69575,159.2,940443,55623553,6.8,1.6,159.2
loganpaulwastaken,88,13793,193101,41,1,2,29750,5427,58928,2884.4,822477,3674500,0.8,1,2884.4
trumpsc,3403,3916,26081,707,73,5,18850,116,25836,21.2,819326,104941640,5.7,1.4,21.2
twitch,1055,14016,517160,258,25,4,57297,1046,423853,276.6,822495,224910145,2.1,1.1,276.6
alinity,3917,1735,10549,713,120,6,9531,781,44080,131.8,820827,48747452,5.8,2.7,131.8
trumpsc,3403,3916,26081,707,73,5,18850,116,25836,21.2,819326,104941640,5.7,1.4,21.2
callofduty,1024,19830,225308,187,3,5,108568,2022,164698,343.6,816960,47771038,1.5,1,343.6
mlg,359,8546,111328,139,6,3,22102,417,21161,169.4,809342,48152075,1.2,1,169.4
mlg,359,8546,111328,139,6,3,22102,417,21161,169.4,809342,48152075,1.2,1,169.4
rewinside,889,5479,77290,278,29,3,17522,1226,25969,390.4,801468,10369900,2.2,1.5,390.4
reckful,1988,9181,55911,338,81,6,54010,646,79342,106.2,799886,104779268,2.7,1.5,106.2
twitchpresents,9464,5075,67314,422,11,22,113818,3437,746257,80.3,795981,165969735,3.9,1,80.3
yogscast,14200,1954,60656,867,822,16,32004,292,80876,15.3,792528,105356790,7,5.3,15.3
beyondthesummit,11529,5870,121131,630,11,18,107424,762,182766,36.1,778395,388029482,5.1,1.1,36.1
cryaotic,3204,3738,14881,642,383,5,18654,229,17207,46.8,774008,41229133,5.2,2.2,46.8
scarra,5266,3338,22489,802,56,7,21919,407,26826,67,771510,71932212,6.5,1.3,67
dansgaming,8598,4758,37325,846,460,10,48357,179,34446,27.4,766727,107857711,6.8,1.3,27.4
monstercat,21095,569,3085,869,3,24,13812,394,34235,6.3,765572,25504109,7,1,6.3
warframe,495,9972,349477,372,1,1,13279,1683,32234,1222.9,764606,16624682,3,1,1222.9
omgitsfirefoxx,272,770,3556,118,18,2,1778,-127,9985,-44.3,764837,9020371,1,1.3,-44.3
greekgodx,1732,11086,69280,342,177,5,56150,2039,86960,393.1,761103,29449961,3.4,2.5,393.1
pgl,606,58932,649414,48,3,13,743403,10760,861443,835.2,759014,68805331,0.4,1,835.2
gassymexican,2677,1595,10268,465,213,6,9182,149,12024,25.3,753065,21410470,3.8,1.7,25.3
aphromoo,2334,4105,21585,473,34,5,20257,468,28051,100.5,747216,71039541,3.8,1.2,100.5
mithrain,3758,3763,29306,746,50,5,18955,901,49668,188.7,745937,40355378,6,1.6,188.7
froggen,2895,3508,15485,477,12,6,21288,391,30656,67.2,741338,72214807,3.9,1,67.2
skipnho,5857,3351,43965,777,98,8,25262,978,53823,117.9,737136,41388726,6.3,1.8,117.9
coscu,3221,2612,40997,500,21,6,16825,1374,31317,203.4,735136,19714305,4,1.5,203.4
moonmoon_ow,5577,8397,27385,794,204,7,58983,439,36490,92.6,736270,51304210,6.4,1.4,92.6
